text,label
"Follow-up: SSL certificate expired, getting security warnings",Technical
Follow-up: Feature request: dark mode for the dashboard,Other
Urgent: I was charged twice for my subscription this month,Billing
Can I get a demo of premium features? This is affecting our entire team.,Other
Feature request: dark mode for the dashboard Please help ASAP.,Other
Follow-up: Mobile app crashes on iOS 17 devices,Technical
Payment processing failed multiple times this week This is affecting our entire team.,Billing
Database connection errors in production environment,Technical
Can you help me understand the charges on my last invoice? Please help ASAP.,Billing
Application crashes when I try to upload large files Please help ASAP.,Technical
Urgent: How do I add new team members to my workspace?,Other
How do I add new team members to my workspace? This is affecting our entire team.,Other
"Urgent: Pro plan billing started early, please adjust charges",Billing
Follow-up: Database connection errors in production environment,Technical
Follow-up: Integration with GitHub service stopped working,Technical
I need to update my payment method urgently This is affecting our entire team.,Billing
"Follow-up: Login page not loading, getting timeout errors",Technical
Compliance requirements for healthcare industry use Please help ASAP.,Other
"Follow-up: Automatic billing charged wrong account, need refund",Billing
Follow-up: Application crashes when I try to upload large files,Technical
Subscription cancelled but still being charged monthly Please help ASAP.,Billing
Performance is very slow during peak hours Please help ASAP.,Technical
Dashboard widgets not displaying data correctly Please help ASAP.,Technical
Follow-up: Account security best practices documentation needed,Other
What are the data retention policies for my account? This is affecting our entire team.,Other
"Login page not loading, getting timeout errors This is affecting our entire team.",Technical
Urgent: Can you help me understand the charges on my last invoice?,Billing
Urgent: Account security best practices documentation needed,Other
Mobile app crashes on iOS 17 devices This is affecting our entire team.,Technical
Follow-up: Search functionality returning empty results,Technical
"My credit card was declined, how do I fix billing issues?",Billing
Mobile app crashes on iOS 17 devices,Technical
Performance is very slow during peak hours,Technical
What are the data retention policies for my account?,Other
"Login page not loading, getting timeout errors This is affecting our entire team.",Technical
Follow-up: Subscription cancelled but still being charged monthly,Billing
Follow-up: I need help setting up single sign-on integration,Other
Urgent: Search functionality returning empty results,Technical
Payment processing failed multiple times this week,Billing
"Follow-up: Invoice #Salesforce shows incorrect amount, please review",Billing
Payment processing failed multiple times this week Please help ASAP.,Billing
Compliance requirements for healthcare industry use Please help ASAP.,Other
Follow-up: I need to update my payment method urgently,Billing
Urgent: Subscription cancelled but still being charged monthly,Billing
"Pro plan billing started early, please adjust charges This is affecting our entire team.",Billing
How to export my data before subscription ends? Please help ASAP.,Other
Follow-up: Integration with Jira service stopped working,Technical
